id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,white_username,black_username,source
7NKtCk3B,True,1503670000000.0,1503680000000.0,111,mate,white,15+0,hafedfree,1729,cdvh,1795,d4 d5 c4 e6 Nc3 Bb4 Qc2 c5 Nf3 cxd4 Nxd4 Nc6 e3 Nf6 h3 O-O Nxc6 bxc6 Bd3 Qa5 Bd2 Ba6 O-O dxc4 Be2 Rfd8 Rfd1 Nd5 Nxd5 c5 a3 Bxd2 Rxd2 Rxd5 Rxd5 exd5 e4 dxe4 Qxe4 Rd8 Bxc4 Qd2 Bxa6 Qxb2 Re1 Rf8 Bd3 g6 a4 Qb4 Qxb4 cxb4 Rb1 Rb8 Bb5 a5 Kf1 Kf8 Ke2 Ke7 Kd3 Kd6 Kd4 f5 f4 h5 g3 Re8 Bxe8 Ke7 Bxg6 Kf6 Bxh5 Ke6 Re1+ Kd6 Rd1 Kc6 Ke5 Kc5 Rd5+ Kc4 Rxa5 b3 Bg6 b2 Bxf5 Kc3 Rc5+ Kd2 a5 Kd1 a6 Kd2 a7 Kd1 a8=Q Kd2 Qd5+ Ke1 Qe4+ Kd2 Qd3+ Ke1 Qb1+ Kf2 Rc2+ Kxg3 Qg1+ Kf3 Qf2#,D31,Queen's Gambit Declined: Queen's Knight Variation,5,hafedfree,cdvh,lichess
TMtvbg3w,True,1503590000000.0,1503590000000.0,54,mate,black,10+0,decem,1795,cdvh,1784,e4 e5 Nf3 Nc6 Bb5 Bc5 Bxc6 dxc6 h3 Nf6 Nc3 Qe7 O-O O-O d4 exd4 Nxd4 Nxe4 Nxe4 Qxe4 Nb3 Bd6 Re1 Qg6 Qf3 Qxc2 Nd4 Qc5 Be3 Qe5 b3 Qh2+ Kf1 Bd7 Nf5 Bxf5 Qxf5 Rae8 g3 Rxe3 fxe3 Bxg3 Red1 Qh1+ Ke2 Qg2+ Kd3 Rd8+ Kc3 Be1+ Kc4 Qe2+ Kc5 Qb5#,C64,Ruy Lopez: Classical Variation,6,decem,cdvh,lichess
0OXPfTEt,True,1503590000000.0,1503590000000.0,33,resign,white,10+0,cdvh,1770,japcan,1872,d4 d5 Nf3 e6 Bf4 Nf6 e3 a6 Bd3 h6 Ne5 Bd6 h4 Nbd7 Qf3 Nf8 h5 c5 Qg3 Bxe5 dxe5 N6d7 Qxg7 c4 Qxh8 cxd3 cxd3 Nc5 Bxh6 Nxd3+ Ke2 Nc1+ Rxc1,D02,Queen's Pawn Game: Zukertort Variation,3,cdvh,japcan,lichess
YzMf40DM,True,1503590000000.0,1503590000000.0,90,resign,black,10+0,cdvh,1783,raubstein,1721,d4 d5 Nf3 Nf6 Bf4 Bg4 Ne5 Bf5 e3 Nbd7 Bd3 Bxd3 Qxd3 e6 Nc3 Be7 O-O O-O Rfd1 c5 Qb5 b6 Nc6 Qe8 Qe2 cxd4 Nb5 Nc5 Nxe7+ Qxe7 Bd6 Qd7 Bxf8 d3 cxd3 Rxf8 d4 Nce4 f3 Ng5 h4 Nxf3+ gxf3 a6 Nc3 b5 Rac1 Qe7 e4 dxe4 Nxe4 Nd5 Qf2 Rd8 Nc5 a5 a3 Nf4 Ne4 Nh3+ Kf1 Nxf2 Kxf2 Qxh4+ Ke3 h5 Rc5 Qe7 Rxh5 f5 Ng5 g6 Rh7 Qxg5+ Kf2 Kxh7 Rh1+ Kg7 Rg1 Qd2+ Kg3 Qxd4 Rg2 Qe5+ Kf2 Rd2+ Kg1 Qe3+ Kh1 Qxf3,D02,Queen's Pawn Game: London System,5,cdvh,raubstein,lichess
q3NHAFFp,True,1503590000000.0,1503590000000.0,90,resign,black,10+0,ashishbarda,1884,cdvh,1768,e4 e5 Nf3 Nc6 Bb5 Bc5 c3 Qf6 O-O Nge7 Re1 O-O d4 exd4 Bg5 Qg6 Bxe7 Bxe7 cxd4 d6 Nc3 Bg4 Re3 Bg5 Rd3 Nb4 h3 Nxd3 Bxd3 Bxf3 Qxf3 Qf6 Qg3 Qxd4 Rd1 Bf6 Qf3 c6 Qh5 Qb4 e5 g6 Qe2 Bxe5 a3 Qh4 Ne4 d5 Nc5 Rfe8 Qf3 Bxb2 a4 Qb4 Nd7 Re7 Nf6+ Bxf6 Qxf6 Rae8 Kh2 Qxa4 Rb1 Qa3 Bc2 Qc5 Bd3 b5 Qf4 Qc3 Bf1 Re1 Rxe1 Rxe1 Kg1 Qa1 Qb8+ Kg7 Qf4 Rxf1+ Kh2 Rh1+ Kg3 Qc3+ f3 Qe1+ Kg4 h5+ Kg5 Qe7+,C64,Ruy Lopez: Classical Variation |  Central Variation,7,ashishbarda,cdvh,lichess
Gz7Icasx,True,1503590000000.0,1503590000000.0,40,mate,black,10+0,omid163,1756,cdvh,1756,e4 e5 Bc4 Nf6 d4 exd4 Qxd4 Nc6 Qe3 Bb4+ Bd2 O-O a3 Bxd2+ Nxd2 d5 exd5 Re8 dxc6 Rxe3+ fxe3 b5 Bb3 Ng4 Nh3 Nxe3 Ke2 Nxg2 Nf2 Bf5 Rad1 Qe8+ Kf3 Nh4+ Kg3 Qe5+ Kxh4 Qf4+ Kh5 g6#,C24,Bishop's Opening: Ponziani Gambit,5,omid163,cdvh,lichess
3n4poRIX,True,1503590000000.0,1503590000000.0,49,outoftime,white,8+0,cdvh,1724,capito2017,1958,d4 Nf6 Nf3 c5 d5 d6 Nc3 e5 e4 Be7 Bd3 Nbd7 O-O h6 a4 O-O Nd2 Nh7 Nc4 Nb6 Ne3 c4 Be2 f5 a5 f4 axb6 fxe3 Bxe3 a6 Ra4 Bd7 Rxc4 Nf6 Rc7 Bb5 Rxb7 Bxe2 Qxe2 Nd7 Qg4 Nf6 Qe6+ Rf7 Rc7 Ne8 Rd7 Qc8 b7,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5,cdvh,capito2017,lichess
XRuQPSzH,True,1503580000000.0,1503580000000.0,50,resign,black,10+0,chess-brahs,2036,cdvh,1706,Nf3 d5 g3 c5 Bg2 Nc6 d3 Nf6 O-O e5 Nc3 d4 Ne4 Nxe4 dxe4 Be7 e3 O-O exd4 cxd4 Re1 Be6 Bd2 Qb6 b3 f6 Qe2 Nb4 Bxb4 Bxb4 Red1 Rac8 Rac1 Rc6 Nh4 Ba3 Rb1 Rfc8 Rd2 Bb4 Rdd1 Rxc2 Qf3 Rxa2 Nf5 Rcc2 Rf1 Bf8 Rfc1 Rxf2,A08,King's Indian Attack: French Variation,6,chess-brahs,cdvh,lichess
15nlkNRf,True,1504140000000.0,1504140000000.0,111,resign,white,10+10,japonxino,1865,isachess,1862,Nf3 Nf6 d4 e6 e3 c5 c3 Nc6 Nbd2 d5 Bd3 c4 Bc2 Bd6 O-O b5 a3 O-O Re1 Bd7 e4 dxe4 Nxe4 a5 Nxd6 b4 Nxc4 bxc3 bxc3 Nd5 Bd2 Qc7 Ne3 Nce7 c4 Nxe3 Rxe3 Qxc4 Rc3 Qb5 Rc5 Qb6 Rb1 Qd8 Bf4 Bc6 Ne5 Qc8 Nxc6 Nxc6 Be4 Ra6 Qf3 Qd7 Rxc6 Rxc6 Bxc6 Qxd4 g3 e5 Be3 Qd3 a4 Qxb1+ Kg2 Qb4 Qe4 Qxe4+ Bxe4 Rb8 Bd2 g6 Bc6 f5 Bxa5 Kf7 Bc7 Rc8 Bd5+ Kf6 Bb6 e4 a5 Ke5 Bb7 Rc2 a6 f4 gxf4+ Kxf4 a7 Ra2 Be3+ Kf5 a8=Q Rxa8 Bxa8 h5 Kg3 g5 h4 g4 Bb7 Ke5 Bc6 Kf5 Be8 Kf6 Bxh5 Kg7 Bxg4,A46,Yusupov-Rubinstein System,5,japonxino,isachess,lichess
xwl41jna,True,1503950000000.0,1503950000000.0,65,outoftime,white,7+2,isachess,1852,roshan_ie,1852,e4 c5 Nf3 Nc6 Bb5 a6 Be2 d6 O-O Nf6 Nc3 e5 Re1 Nd4 Bf1 Bg4 Be2 Nxe2+ Qxe2 Be7 d3 O-O Bg5 Nd7 Bd2 Nb8 Nd5 Nc6 Nxe7+ Qxe7 Qe3 Bxf3 Qxf3 Nd4 Qd1 f5 c3 Nc6 exf5 Rxf5 Re3 Raf8 Qb3+ Kh8 Rf1 b5 Qd5 Nd8 d4 Qb7 Qxd6 exd4 cxd4 cxd4 Qxd4 Qf7 Rg3 Ne6 Qg4 Kg8 Bc3 Rxf2 Rf3 Rxf1+ Kxf1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5,isachess,roshan_ie,lichess
1zRjgcqm,True,1503800000000.0,1503810000000.0,73,resign,white,15+0,cliff_walker,1833,isachess,1863,d4 Nf6 c4 c5 e3 cxd4 exd4 d6 Nf3 g6 Nc3 Bg7 Bd3 O-O h3 Nc6 O-O Bd7 a3 Rc8 b4 a6 Be3 e6 Qd2 Ne7 Bh6 Re8 Bxg7 Kxg7 Rac1 d5 c5 a5 Ne5 axb4 axb4 Ra8 Ra1 Nc6 Rxa8 Qxa8 Nxc6 bxc6 b5 Rb8 b6 Bc8 Rb1 Qb7 g4 Ra8 Qf4 Qb8 Qxb8 Rxb8 Ra1 Bb7 Ra7 Ng8 Kg2 Kf8 g5 Ne7 Kf3 Nc8 Ra1 Ra8 Rxa8 Bxa8 Ba6 Nxb6 cxb6,A56,Benoni Defense,4,cliff_walker,isachess,lichess
vfnLULoh,True,1503690000000.0,1503690000000.0,125,resign,white,15+0,isachess,1851,sergej1956,1918,e4 c5 Nf3 g6 Nc3 Bg7 Bb5 a6 Be2 Nc6 O-O b5 a3 Bb7 d3 Nd4 Re1 Nxe2+ Qxe2 d6 Rb1 Nh6 e5 O-O exd6 exd6 Bf4 Nf5 Ne4 Re8 Qd1 Bxe4 dxe4 Nd4 c3 Nxf3+ Qxf3 Be5 Rbd1 Qf6 Bxe5 Qxf3 gxf3 dxe5 Rd5 c4 Kf1 Kg7 Ke2 Kf6 Ke3 Red8 Red1 Rxd5 Rxd5 Ke6 f4 exf4+ Kxf4 f5 Re5+ Kf6 exf5 g5+ Ke4 Rd8 Re6+ Kf7 Rxa6 Rd2 Ra7+ Kf6 Rxh7 Rxf2 Rh6+ Kf7 h4 gxh4 Rxh4 Rxb2 Rh7+ Kf6 Rh6+ Kf7 Rb6 Rb3 Kd4 Rxa3 Rxb5 Kf6 Kxc4 Ra4+ Kb3 Rf4 Rb8 Ke7 Rb5 Kf6 c4 Rf3+ Kb4 Rf4 Rd5 Rf1 Kb5 Rb1+ Kc6 Rc1 c5 Ke7 Rd6 Rb1 f6+ Kf7 Kc7 Rc1 c6 Rb1 Kd7 Ra1 c7 Ra7 Kd8 Ra8+ c8=Q,B27,Sicilian Defense: Hyperaccelerated Dragon,4,isachess,sergej1956,lichess
ut6LIGPI,True,1503630000000.0,1503630000000.0,76,resign,black,15+0,isachess,1861,pogrib,1844,e4 e5 Nf3 Nc6 Bc4 h6 c3 Nf6 O-O Bc5 d4 exd4 cxd4 Be7 Re1 O-O Bd2 d6 Bc3 Be6 d5 Ne5 dxe6 Nxc4 exf7+ Kh8 Qb3 Nb6 Nh4 d5 Ng6+ Kh7 Nxf8+ Qxf8 e5 Ne4 e6 Nxc3 Nxc3 c6 Ne2 Nc4 Qc2+ g6 Nf4 Qg7 Rad1 Nd6 Rd3 Ne4 Rxe4 dxe4 Rd7 Bg5 Qxe4 Bxf4 Qxf4 Rf8 Qb4 a5 Qxb7 Qe5 Rd1 Qxe6 Qa7 Rxf7 Qxa5 Qe2 Qd2 Rxf2 Qd7+ Kg8 Qd8+ Rf8 Qd6 Qf2+,C55,Italian Game: Anti-Fried Liver Defense,6,isachess,pogrib,lichess
1KbSJtjs,True,1503620000000.0,1503630000000.0,65,outoftime,white,10+0,isachess,1853,tartetatin,1774,e4 e5 Nf3 Nc6 Bb5 Nf6 Ng5 Bc5 d3 O-O h4 Nd4 Ba4 b5 Bb3 Nxb3 axb3 d5 Nc3 dxe4 Ncxe4 Nxe4 Nxe4 Bb6 Qh5 Bb7 Ng5 h6 f3 Qd4 Ne4 Bxe4 fxe4 Qf2+ Kd1 Rad8 Qxe5 Rfe8 Qf5 Qxg2 Rf1 f6 Bd2 Re5 Qf3 Qh2 Rh1 Qf2 Qxf2 Bxf2 Ke2 Bg3 Rxa7 Rh5 Rxc7 Bxc7 Bc3 Bg3 Be1 Bxe1 Kxe1 Ra8 Kd2 Ra2 Kc3,C65,Ruy Lopez: Berlin Defense #2,6,isachess,tartetatin,lichess
cqrATt9o,True,1503620000000.0,1503620000000.0,41,mate,white,10+0,juncinmestrella,1910,isachess,1862,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e6 Be3 Be7 h3 Bd7 a3 Nc6 Qd2 Rc8 Ba2 O-O O-O Nxd4 Bxd4 Qa5 Bxf6 gxf6 Qh6 Rxc3 bxc3 Qxc3 Bb3 Bc6 Rae1 Kh8 Re3 Qe5 Rg3 Bxe4 Qg7#,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11,juncinmestrella,isachess,lichess
deKfSOPy,True,1503620000000.0,1503620000000.0,59,resign,white,10+0,isachess,1851,robinhood76,1890,e4 e6 Nf3 d5 exd5 exd5 d4 Bd6 Bd3 Ne7 Bg5 f6 Bh4 O-O Bg3 Nf5 c4 Nxg3 hxg3 Re8+ Kf1 c6 Bxh7+ Kf8 Bg6 Be6 Bxe8 Qxe8 Qe2 Ke7 cxd5 cxd5 Nc3 Kf7 Re1 Qd7 a3 Nc6 Rh5 Kg6 Nh4+ Kf7 Nxd5 Nxd4 Qd3 Be5 Nc3 Rc8 Kg1 Nf5 Qxd7+ Bxd7 Nxf5 g6 Rh7+ Kg8 Rxd7 gxf5 Red1,C00,French Defense: Knight Variation,3,isachess,robinhood76,lichess
vQ1psjxd,True,1503600000000.0,1503600000000.0,70,resign,black,15+5,tohaimr7,1860,isachess,1840,e4 c5 Nf3 d6 c3 Nf6 d3 Bg4 Be2 Nc6 a3 e6 h3 Bh5 Nbd2 Be7 O-O O-O Qb3 Qc7 Qc2 d5 exd5 Nxd5 Ne4 Rfd8 Re1 Nf4 Bxf4 Qxf4 Nh2 Bxe2 Qxe2 Ne5 Rad1 Rac8 g3 Qf5 Kg2 c4 d4 Nd3 Rf1 Qg6 f4 f5 Nf2 Nxf4+ Kf3 Nxe2 Kxe2 Qxg3 Nf3 Bf6 Rg1 Qc7 h4 Qb6 Rd2 e5 dxe5 Rxd2+ Nxd2 Bxe5 Nf3 Re8 Kf1 Qxb2 Nxe5 Rxe5,B50,Sicilian Defense: Delayed Alapin,5,tohaimr7,isachess,lichess
k1qV5HHz,True,1503550000000.0,1503550000000.0,34,resign,white,25+25,zpectral-chess,1828,isachess,1848,e4 c5 Nf3 d6 Bb5+ Nc6 c4 a6 Ba4 Bd7 Nc3 Nf6 O-O e6 d4 cxd4 Nxd4 Be7 Be3 O-O Bc2 Qc7 f4 Rfd8 Qf3 Bf8 Nde2 Nb4 Rac1 Qxc4 Bb3 Qxe4 Nxe4 Nxe4,B51,Sicilian Defense: Canal-Sokolsky Attack,5,zpectral-chess,isachess,lichess
QQ3iIM2V,True,1503460000000.0,1503460000000.0,69,outoftime,white,8+0,javier_temperley,1855,isachess,1858,Nh3 d5 g3 Nf6 Bg2 c5 f4 e6 Nf2 Nc6 d3 d4 e4 e5 O-O exf4 Bxf4 Be7 Nd2 Be6 a3 Qd7 e5 Nd5 Nfe4 h6 Nb3 b6 Qd2 g5 Bxg5 hxg5 Nxg5 Ne3 Nxe6 Qxe6 Rf2 Nxg2 Kxg2 Qxe5 Re1 Qd5+ Kg1 O-O-O Qf4 Rdf8 Qg4+ Kc7 Nd2 Rhg8 Qf4+ Bd6 Qf6 Rg6 Qh4 Re6 Ne4 Be7 Qh7 Kd8 Ref1 Ne5 Qh5 Qd7 Rf5 Bd6 Nf6 Qe7 Nd5,E00,Amar Opening,1,javier_temperley,isachess,lichess
GppFo58m,True,1503450000000.0,1503450000000.0,63,resign,white,10+10,isachess,1847,jadesummer,1895,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Bc5 c3 d6 d4 exd4 cxd4 Bb6 d5 Ba5+ Bd2 Bxd2+ Nbxd2 b5 dxc6 bxa4 Qxa4 Nf6 O-O O-O Rfe1 Re8 Nf1 Qe7 Ng3 Bg4 Nd4 Qe5 h3 Bc8 Re3 Rb8 b3 Qc5 Rae1 Rb4 e5 Rxa4 exf6 Rxe3 Rxe3 Kf8 fxg7+ Kxg7 bxa4 Qxd4 Re7 Qxa4 Rxc7 Be6 Kh2 Bd5 Rd7 Qxc6 Rxd6 Qb7 Nf5+,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8,isachess,jadesummer,lichess
BoDJGVyk,True,1503450000000.0,1503450000000.0,107,resign,white,10+10,jadesummer,1885,isachess,1856,e4 c5 Nf3 d6 Nc3 a6 a3 Nf6 Bc4 e6 d3 Nc6 Ba2 Be7 h3 Bd7 Ng5 Qc7 Bd2 Nd4 Nf3 Nb5 g4 Nxc3 Bxc3 h6 Nd2 d5 exd5 exd5 Bxf6 Bxf6 Qe2+ Kd8 O-O-O Bc6 Rhe1 Qf4 Qe3 Qxe3 Rxe3 Kc7 Rde1 Kd6 f4 Rae8 Rxe8 Rxe8 Rxe8 Bxe8 Nf3 b5 c3 c4 dxc4 dxc4 Kd2 Bc6 Nd4 Bxd4 cxd4 Bg2 h4 Bf3 g5 hxg5 hxg5 f6 Ke3 Bg2 gxf6 gxf6 Bb1 Kd5 Bf5 Bf1 Be4+ Kd6 Kf2 Bd3 Bxd3 cxd3 Ke3 f5 Kxd3 Kd5 b3 a5 Ke3 b4 axb4 axb4 Kd3 Kc6 Kc4 Kb6 Kxb4 Kc6 Kc4 Kd6 b4 Kc6 b5+ Kd6 d5 Kc7 Kc5,B50,Sicilian Defense,4,jadesummer,isachess,lichess
tqirXAEm,True,1503440000000.0,1503440000000.0,58,resign,white,30+0,isachess,1847,borvel,1802,d4 h6 Nf3 b5 e4 b4 c4 Bb7 Bd2 a5 Bd3 e6 O-O d5 cxd5 exd5 e5 Bc8 Be3 Bg4 Be2 Ne7 Nbd2 g5 Nb3 Nf5 Qd3 Be7 h3 Bh5 g4 Nxe3 fxe3 Bg6 Qb5+ c6 Qb7 Nd7 Qxc6 Rc8 Qxd5 O-O Rac1 Kg7 Qxa5 f5 exf6+ Nxf6 Qxd8 Rcxd8 Nc5 Bf7 Ne5 Bxa2 b3 Nd5 Ne6+ Kg8,A40,Queen's Pawn,1,isachess,borvel,lichess
